timestamp,words,tags
1,Lorette Manitoba,
,Feb. 14 /43,
,[doodle of two hearts impaled by an arrow],
,Dear Joan:,
,"Hellow Joan, thanks for the very welcome letter I received on the 1st of Feb. ",Mail
,How are you and the rest All fine and dandy and I hope you didn’t catch a cold during the sub-zero weather you had out there. I was glad to hear you had received my letter on your birthday and besides it was on my sisters birthday I sent it.,Homesickness; Joan
,"I hear it went down as long as 45 degrees below in the North Fraser Valley. Is that true? I suppose you have coupla foot of snow there now. My friend in the interior of B.C. says they had 3 ft of snow, but out here we only have 18 in. average.",
, In places there are about 5 ft of snow frozen hard enough to keep us up. One of our boss’s son [sic] recently went trucking up in Alaska and he says its 80 degrees below there. Boy the fuel cost went sky high these days hasn’t it This winter sure,LivingConditions
2,fooled many citizens. I heard in the prairies they’re burning their own houses for fuel. There’s so much snow there the roads are all blocked up. Quite a few highways in Manitoba are blocked up. The peoples around here says this highway’s about the last to get blocked. There are snow plughs working on the highways but it doen’t do much good because the wind out there are too strong it blows the snow around 30-40 feet up in the air.,LivingConditions
,"My brother came from Fort William. He is perfectly well now and at present he is in Winnipeg looking for more profitable job [sic]. The fellas that went to Ontario to cut pulp wood says the trees there are no bigger than a raspberry cane. My brother brought home a piece of birch bark to write letters on It’s almost as smooth and thin as an ordinary writing sheet. He had about foot square of it. He says, Ontario quite similar to B.C. of course there are no",LaborConditions
3,High mountains.,
,"“Lorette Village” as they call it is a French settlement. The people living in this district are almost all French. The most outstanding building here is the Catholic church about 1 1/2 times the size of the Lutheran church at Annivial[?]. Theres a nun’s school, Public school with high school, 3 general store one with Post Office, Hall, Hotel, 2 garage and a pool room. In this town are six Japanese families one of them being our neighbor back home. The Manitoba Sugar Beet 60 intends to put 10 more families in this Area. We live 3 miles away from the Village.",LivingConditions
,"But our boss owns a small general store so we don’t have to cycle in for our groceries There’s a small school right across my place that holds about 50 pupil Theres one 23 year old teacher teaching 40 pupils, grades 1 to 10. It is exactly 50 miles from Lorette to Newton Siding Our boss owns 16 kids The eldest about 25 He lost 4","[insert proper term
for landowner/supervisor/'boss']"
4,He expects to get another soon. Theres only nine home now and the eldest is only 16. Our neighbor just across the river from us has a family of 13 and majority of them are girls. They all say the French have a big family. They all seem to be friendly towards us at least they have no hatred towards us. Is this true about Glen that he’s a student of the University of Washington? And about the barge balloon they’ve got up around Vancouver? Have you seen it yet?,LivingConditions
,Is this true about Glen that he’s a student of the University of Washington? And about the barge balloon they’ve got up around Vancouver? Have you seen it yet?,Homesickness
,Last night the Japanese Girls in Winnipeg held a party at the I.W.A.,Recreation; GenderDynamics
,Well this is about all I can think of so I’ll close here,
,Always,
,Tad,
,P.S. I’ll be waiting for your swell picture,Photographs
,[doodle of two hearts impaled by an arrow],
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
,,
6,,
